text,metadata
"1 ECE120: Introduction to Computer Engineering Notes Set 1.1 The Halting Problem For some of the topics in this course, we plan to cover the material m ore deeply than does the textbook. We will provide notes in this format to supplement the textbook for this purpose. In order to make these notes more useful as a reference, deﬁnitions are highlighted with boldfac e, and italicization emphasizes pitfalls or other important points. Sections marked with an asterisk are provided solely for you r interest, but you probably need to learn this material in later classes. These notes are broken up into four parts, corresponding to the three midterm exams and the ﬁnal exam. Each part is covered by one examination in our class. The last section of each of the four parts gives you a summary of material that you are expected to know for the cor responding exam. Feel free to read it in advance. As discussed in the textbook and in class, a universal computational device (orcomputing machine ) is a device that is capable of computing the solution to any problem tha t can be computed, provided that the device is given enough storage and time for the computation to ﬁ nish. One might ask whether we can describe problems that we cannot ans wer (other than philosophical ones, such as the meaning of life). The answer is yes: there are problems t hat are provably undecidable , for which no amount of computation can solve the problem in general. This set of notes describes the ﬁrst problem known to be undecidable, the halting problem . For our class, you need only recognize the name and realize that one can, in fact, give examples of problems that can not be solved by computation. In the fu- ture, you should be able to recognizethis type of problem so as to av oidspending your time trying to solve it. 1.1.1 Universal Computing Machines* The things that we call computers today, whether we are talking ab out a programmable microcontroller in a microwave oven or the Blue Waters supercomputer sitting on the s outh end of our campus (the United States’ main resource to support computational science resear ch), are all equivalent in the sense of what problems they can solve. These machines do, of course, have acce ss to diﬀerent amounts of memory, and compute at diﬀerent speeds. The idea that a single model of computation could be described and pr oven to be equivalent to all other models came out of a 1936 paper by Alan Turing, and today we genera lly refer to these devices as Turing machines . All computers mentioned earlier, as well as all computers with which you are familiar in your daily life, are provably equivalent to Turing machines. Turing also conjectured that his deﬁnition of computable was identic al to the “natural” deﬁnition (today, this claim is known as the Church-Turing conjecture ). In other words, a problem that cannot be solved by a Turing machine cannot be solved in any systematic manner, with a ny machine, or by any person. This conjecture remains unproven! However, neither has anyone bee n able to disprove the conjecture, and it is widely believed to be true","{'page_number': 6, 'textbook_name': 'ECE-120-student-notes', 'text': 'In other words, a problem that cannot be solved by a Turing machine cannot be solved in any systematic manner, with a ny machine, or by any person. This conjecture remains unproven! However, neither has anyone bee n able to disprove the conjecture, and it is widely believed to be true. Disproving the conjecture requires that one demonstrate a systematic technique (or a machine) capable of solving a problem that cannot be solved by a Turing machine. No one has been able to do so to date. 1.1.2 The Halting Problem* You might reasonably ask whether any problems can be shown to be in computable. More common terms for such problems—those known to be insolvable by any computer—a reintractable or undecidable. In the same 1936 paper in which he introduced the universal computing mac hine, Alan Turing also provided an answertothis questionby introducing(andproving)that therear ein factproblemsthat cannotbe computed by a universal computing machine. The problem that he proved unde cidable, using proof techniques almost identical to those developed for similar problems in the 1880s, is now k nown as the halting problem .'}"
"In other words, a problem that cannot be solved by a Turing machine cannot be solved in any systematic manner, with a ny machine, or by any person. This conjecture remains unproven! However, neither has anyone bee n able to disprove the conjecture, and it is widely believed to be true. Disproving the conjecture requires that one demonstrate a systematic technique (or a machine) capable of solving a problem that cannot be solved by a Turing machine. No one has been able to do so to date. 1.1.2 The Halting Problem* You might reasonably ask whether any problems can be shown to be in computable. More common terms for such problems—those known to be insolvable by any computer—a reintractable or undecidable. In the same 1936 paper in which he introduced the universal computing mac hine, Alan Turing also provided an answertothis questionby introducing(andproving)that therear ein factproblemsthat cannotbe computed by a universal computing machine. The problem that he proved unde cidable, using proof techniques almost identical to those developed for similar problems in the 1880s, is now k nown as the halting problem .","{'page_number': 6, 'textbook_name': 'ECE-120-student-notes', 'text': 'In other words, a problem that cannot be solved by a Turing machine cannot be solved in any systematic manner, with a ny machine, or by any person. This conjecture remains unproven! However, neither has anyone bee n able to disprove the conjecture, and it is widely believed to be true. Disproving the conjecture requires that one demonstrate a systematic technique (or a machine) capable of solving a problem that cannot be solved by a Turing machine. No one has been able to do so to date. 1.1.2 The Halting Problem* You might reasonably ask whether any problems can be shown to be in computable. More common terms for such problems—those known to be insolvable by any computer—a reintractable or undecidable. In the same 1936 paper in which he introduced the universal computing mac hine, Alan Turing also provided an answertothis questionby introducing(andproving)that therear ein factproblemsthat cannotbe computed by a universal computing machine. The problem that he proved unde cidable, using proof techniques almost identical to those developed for similar problems in the 1880s, is now k nown as the halting problem .'}"
"2  The halting problem is easy to state and easy to prove undecidable. T he problem is this: given a Turing machine and an input to the Turing machine, does the Turing machine ﬁ nish computing in a ﬁnite number of steps (a ﬁnite amount of time)? In order to solve the problem, an answer, either yes or no, must be given in a ﬁnite amount of time regardlessof the machine or input in question . Clearly some machines never ﬁnish. For example, we can write a Turing machine that counts upwards sta rting from one. You may ﬁnd the proof structure for undecidability of the halting pr oblem easier to understand if you ﬁrst think about a related problem with which you may already be familiar, th e Liar’s paradox (which is at least 2,300 years old). In its stengthened form, it is the following sentenc e: “This sentence is not true.” To see that no Turing machine can solve the halting problem, we begin by assuming that such a machine exists, and then show that its existence is self-contradictory. We call the machine the “Halting Machine,” or HM for short. HM is a machine that operates on anotherHalting Machine (HM)Turing machine + inputsyes or no Turing machine and its inputs to produce a yes or no answer in ﬁnite tim e: either the machine in question ﬁnishes in ﬁnite time (HM returns “yes”), or it does not (HM returns “no”). The ﬁgure illustrates HM’s operation. From HM, we construct a second machine that we call the HM Inverter, or HMI. This machine inverts the sense of the answer given by HM. In particular, the inputs are fed directly into a copy of HM, and if HM answers “yes,” HMI enters an inﬁnite loop. If HM answers “no,” HMI halts. A diagram appears to the right. The inconsistency can now be seen by askingHM whether HMI halts when given itself as an input (repeatedly), asHalting Machine (HM)Turing machine + inputsHM said yes? count foreveryesnodone Halting Machine Inverter (HMI) shown below. Two copies of HM are thus being asked the same questio n. One copy is the rightmost in the ﬁgure below and the second is embedded in the HMI machine that we ar e using as the input to the rightmost HM. As the two copies of HM operate on the same input (HMI operatin g on HMI), they should return the same answer: a Turing machine either halts on an input, or it does not ; they are deterministic. Halting Machine (HM)HM said yes? count foreverHMI HMI Halting Machine (HM)yes or noyesnodone Halting Machine Inverter (HMI). . .a Turing machine + inputs Let’s assume that the rightmost HM tells us that HMI operating on its elf halts","{'page_number': 7, 'textbook_name': 'ECE-120-student-notes', 'text': 'Halting Machine (HM)HM said yes? count foreverHMI HMI Halting Machine (HM)yes or noyesnodone Halting Machine Inverter (HMI). . .a Turing machine + inputs Let’s assume that the rightmost HM tells us that HMI operating on its elf halts. Then the copy of HM in HMI (when HMI executes on itself, with itself as an input) must also sa y “yes.” But this answer implies that HMI doesn’t halt (see the ﬁgure above), so the answer should have been no! Alternatively, we can assume that the rightmost HM says that HMI o perating on itself does not halt. Again, the copy of HM in HMI must give the same answer. But in this case HMI h alts, again contradicting our assumption. Since neither answer is consistent, no consistent answer can be giv en, and the original assumption that HM exists is incorrect. Thus, no Turing machine can solve the halting pro blem.'}"
"Halting Machine (HM)HM said yes? count foreverHMI HMI Halting Machine (HM)yes or noyesnodone Halting Machine Inverter (HMI). . .a Turing machine + inputs Let’s assume that the rightmost HM tells us that HMI operating on its elf halts. Then the copy of HM in HMI (when HMI executes on itself, with itself as an input) must also sa y “yes.” But this answer implies that HMI doesn’t halt (see the ﬁgure above), so the answer should have been no! Alternatively, we can assume that the rightmost HM says that HMI o perating on itself does not halt. Again, the copy of HM in HMI must give the same answer. But in this case HMI h alts, again contradicting our assumption. Since neither answer is consistent, no consistent answer can be giv en, and the original assumption that HM exists is incorrect. Thus, no Turing machine can solve the halting pro blem.","{'page_number': 7, 'textbook_name': 'ECE-120-student-notes', 'text': 'Halting Machine (HM)HM said yes? count foreverHMI HMI Halting Machine (HM)yes or noyesnodone Halting Machine Inverter (HMI). . .a Turing machine + inputs Let’s assume that the rightmost HM tells us that HMI operating on its elf halts. Then the copy of HM in HMI (when HMI executes on itself, with itself as an input) must also sa y “yes.” But this answer implies that HMI doesn’t halt (see the ﬁgure above), so the answer should have been no! Alternatively, we can assume that the rightmost HM says that HMI o perating on itself does not halt. Again, the copy of HM in HMI must give the same answer. But in this case HMI h alts, again contradicting our assumption. Since neither answer is consistent, no consistent answer can be giv en, and the original assumption that HM exists is incorrect. Thus, no Turing machine can solve the halting pro blem.'}"
"1.2 The 2’s Complement Representation 3 ECE120: Introduction to Computer Engineering Notes Set 1.2 The 2’s Complement Representation This set of notes explains the rationale for using the 2’s complement r epresentation for signed integers and derives the representation based on equivalence of the addition fu nction to that of addition using the un- signed representation with the same number of bits. 1.2.1 Review of Bits and the Unsigned Representation In modern digital systems, we represent all types of information u sing binary digits, or bits. Logically, a bit is either 0 or 1. Physically, a bit may be a voltage, a magnetic ﬁeld, or even the electrical resistance of a tiny sliver of glass. Any type of information can be represented wit h an ordered set of bits, provided that any given pattern of bits corresponds to only one value and that we agree in advance on which pattern of bits represents which value . For unsigned integers—that is, whole numbers greater or equal to zero—we chose to use the base 2 represen- tation already familiar to us from mathematics. We call this represen tation the unsigned representation . For example, in a 4-bit unsigned representation, we write the numbe r 0 as 0000, the number 5 as 0101, and the number 12 as 1100. Note that we always write the same numb er of bits for any pattern in the representation: in a digital system, there is no “blank” bit value . 1.2.2 Picking a Good Representation In class, we discussed the question of what makes one representa tion better than another. The value of the unsigned representation, for example, is in part our existing fa miliarity with the base 2 analogues of arithmetic. For base 2 arithmetic, we can use nearly identical techn iques to those that we learned in elementary school for adding, subtracting, multiplying, and dividing base 10 numbers. Reasoning about the relative merits of representations from a pra ctical engineering perspective is (prob- ably) currently beyond your ability. Saving energy, making the implem entation simple, and allowing the implementation to execute quickly probably all sound attractive, bu t a quantitative comparison between two representations on any of these bases requires knowledge that y ou will acquire in the next few years. We can sidestep such questions, however, by realizing that if a digita l system has hardware to perform operations such as addition on unsigned values, using the same piece of hardware to operate on other representations incurs little or no additional cost. In this set of no tes, we discuss the 2’s complement repre- sentation, which allows reuse of the unsigned add unit (as well as a ba sis for performing subtraction of either representation using an add unit!). In discussion section and in your homework, you will use the same idea to perform operations on other representations, such as chang ing an upper case letter in ASCII to a lower case one, or converting from an ASCII digit to an unsigned represe ntation of the same number. 1.2","{'page_number': 8, 'textbook_name': 'ECE-120-student-notes', 'text': 'In discussion section and in your homework, you will use the same idea to perform operations on other representations, such as chang ing an upper case letter in ASCII to a lower case one, or converting from an ASCII digit to an unsigned represe ntation of the same number. 1.2.3 The Unsigned Add Unit In order to deﬁne a representation for signed integers that allows us to reuse a piece of hardware designed for unsigned integers, we must ﬁrst understand what such a piece of hardware actually does (we do not need to know how it works yet—we’ll explore that question later in our class ). The unsigned representationusing Nbits is not closedunder addition. In other words, for any value of N, we can easily ﬁnd two N-bit unsigned numbers that, when added together, cannot be rep resented as an N-bit unsigned number. With N= 4, for example, we can add 12 (1100) and 6 (0110) to obtain 18. Sin ce 18 is outside of the range [0 ,24−1] representable using the 4-bit unsigned representation, our re presentation breaks if we try to represent the sum using this representation. W e call this failure an overﬂow condition: the representation cannot represent the result of the operatio n, in this case addition.'}"
"In discussion section and in your homework, you will use the same idea to perform operations on other representations, such as chang ing an upper case letter in ASCII to a lower case one, or converting from an ASCII digit to an unsigned represe ntation of the same number. 1.2.3 The Unsigned Add Unit In order to deﬁne a representation for signed integers that allows us to reuse a piece of hardware designed for unsigned integers, we must ﬁrst understand what such a piece of hardware actually does (we do not need to know how it works yet—we’ll explore that question later in our class ). The unsigned representationusing Nbits is not closedunder addition. In other words, for any value of N, we can easily ﬁnd two N-bit unsigned numbers that, when added together, cannot be rep resented as an N-bit unsigned number. With N= 4, for example, we can add 12 (1100) and 6 (0110) to obtain 18. Sin ce 18 is outside of the range [0 ,24−1] representable using the 4-bit unsigned representation, our re presentation breaks if we try to represent the sum using this representation. W e call this failure an overﬂow condition: the representation cannot represent the result of the operatio n, in this case addition.","{'page_number': 8, 'textbook_name': 'ECE-120-student-notes', 'text': 'In discussion section and in your homework, you will use the same idea to perform operations on other representations, such as chang ing an upper case letter in ASCII to a lower case one, or converting from an ASCII digit to an unsigned represe ntation of the same number. 1.2.3 The Unsigned Add Unit In order to deﬁne a representation for signed integers that allows us to reuse a piece of hardware designed for unsigned integers, we must ﬁrst understand what such a piece of hardware actually does (we do not need to know how it works yet—we’ll explore that question later in our class ). The unsigned representationusing Nbits is not closedunder addition. In other words, for any value of N, we can easily ﬁnd two N-bit unsigned numbers that, when added together, cannot be rep resented as an N-bit unsigned number. With N= 4, for example, we can add 12 (1100) and 6 (0110) to obtain 18. Sin ce 18 is outside of the range [0 ,24−1] representable using the 4-bit unsigned representation, our re presentation breaks if we try to represent the sum using this representation. W e call this failure an overﬂow condition: the representation cannot represent the result of the operatio n, in this case addition.'}"
"4  Using more bits to represent the answer is not an attractive solutio n, since we might then want to use more bits for the inputs, which in turn requires more bits for the outputs, and so on. We cannot build something supporting an inﬁnite number of bits. Instead, we choose a value for Nand build an add unit that adds two N-bit numbers and produces anN-bit sum (and some overﬂow indicators, which we discuss in the next s et of notes). The diagramto the right showshow we might drawsuch a device, with t woN-bit numbers entering at from the top, and the N-bit sum coming out from the bottom.N−bit add unitN N N The function used for N-bit unsigned addition is addition modulo 2N. In a practical sense, you can think of this function as simply keeping the last Nbits of the answer; other bits are simply discarded. In the example to the right, we add 12 and 6 to o btain 18, but then discard the extra bit on the left, so the add unit produces 2 (an ove rﬂow).1100 10010+ 0110(12) (6) (2) Modular arithmetic deﬁnes a way of performing arithmetic for a ﬁnite number of possible values, usually integers. As a concrete example, let’s use modulo 16, which corresponds to the addition unit for our 4-bit examples. Starting with the full range of integers, we can deﬁne equiva- lence classes for groups of 16 integers by simply breaking upof numbers of numbersa third group a second group0 15 one group of numbers−16 −1 16 31 . . . . . . the number line into contiguous groups, starting with the numbers 0 to 15, as shown to the right. The numbers -16 to -1 form a group, as do the numbers from 16 to 31. A n inﬁnite number of groups are deﬁned in this manner. You can think of these groups as deﬁning equivalence classes modulo 16. All of the ﬁrst numbers in the groups are equivalent modulo 16. All of the second numbers in the gr oups are equivalent modulo 16. And so forth. Mathematically, we say that two numbers AandBare equivalent modulo 16, which we write as (A=B) mod 16 if and only if A=B+16kfor some integer k. It is worth noting that equivalence as deﬁned by a particular modulus distributes over addition and multipli- cation. If, for example, we want to ﬁnd the equivalence class for ( A+B) mod 16, we can ﬁnd the equivalence classes for A(call itC) andB(call itD) and then calculate the equivalence class of ( C+D) mod 16. As a concrete example of distribution over multiplication, given ( A= 1,083,102,112×7,323,127) mod 10, ﬁndA. For this problem, we note that the ﬁrst number is equivalent to 2 mo d 10, while the second number is equivalent to 7 mod 10","{'page_number': 9, 'textbook_name': 'ECE-120-student-notes', 'text': 'As a concrete example of distribution over multiplication, given ( A= 1,083,102,112×7,323,127) mod 10, ﬁndA. For this problem, we note that the ﬁrst number is equivalent to 2 mo d 10, while the second number is equivalent to 7 mod 10. We then write ( A= 2×7) mod 10, and, since 2 ×7 = 14, we have ( A= 4) mod 10. 1.2.4 Deriving 2’s Complement Given these equivalence classes, we might instead choose to draw a circle to iden- tify the equivalence classes and to associate each class with one of the sixteen possible 4-bit patterns, as shown to the right. Us- ing this circlerepresentation,wecan addby counting clockwise around the circle, and we can subtract by counting in a counter- clockwise direction around the circle. With an unsigned representation, we choose to use the groupfrom[0 ,15](the middle group in the diagram markings to the right) as the number represented by each of the pat- terns. Overﬂow occurs with unsigned addi- tion (or subtraction) because we can only choose one value for each binary pattern.01000001 0010 0011 0101 0110 01110000 10001111 100110101011110011011110..., −15, 1, 17, ... ..., −14, 2, 18, ... ..., −13, 3, 19, ... ..., −12, 4, 20, ... ..., −11, 5, 21 ..., −10, 6, 22 ..., −9, 7, 23 ..., −8, 8, 24, ......, −7, 9, 25, ......, −6, 10, 26, ......, −5, 11, 27, ......, −4, 12, 28, ......, −3, 13, 29, ......, −2, 14, 30, ......, −1, 15, 31, ... modulo 16 (binary patterns inside circle)equivalence classes..., −16, 0, 16, ...'}"
"As a concrete example of distribution over multiplication, given ( A= 1,083,102,112×7,323,127) mod 10, ﬁndA. For this problem, we note that the ﬁrst number is equivalent to 2 mo d 10, while the second number is equivalent to 7 mod 10. We then write ( A= 2×7) mod 10, and, since 2 ×7 = 14, we have ( A= 4) mod 10. 1.2.4 Deriving 2’s Complement Given these equivalence classes, we might instead choose to draw a circle to iden- tify the equivalence classes and to associate each class with one of the sixteen possible 4-bit patterns, as shown to the right. Us- ing this circlerepresentation,wecan addby counting clockwise around the circle, and we can subtract by counting in a counter- clockwise direction around the circle. With an unsigned representation, we choose to use the groupfrom[0 ,15](the middle group in the diagram markings to the right) as the number represented by each of the pat- terns. Overﬂow occurs with unsigned addi- tion (or subtraction) because we can only choose one value for each binary pattern.01000001 0010 0011 0101 0110 01110000 10001111 100110101011110011011110..., −15, 1, 17, ... ..., −14, 2, 18, ... ..., −13, 3, 19, ... ..., −12, 4, 20, ... ..., −11, 5, 21 ..., −10, 6, 22 ..., −9, 7, 23 ..., −8, 8, 24, ......, −7, 9, 25, ......, −6, 10, 26, ......, −5, 11, 27, ......, −4, 12, 28, ......, −3, 13, 29, ......, −2, 14, 30, ......, −1, 15, 31, ... modulo 16 (binary patterns inside circle)equivalence classes..., −16, 0, 16, ...","{'page_number': 9, 'textbook_name': 'ECE-120-student-notes', 'text': 'As a concrete example of distribution over multiplication, given ( A= 1,083,102,112×7,323,127) mod 10, ﬁndA. For this problem, we note that the ﬁrst number is equivalent to 2 mo d 10, while the second number is equivalent to 7 mod 10. We then write ( A= 2×7) mod 10, and, since 2 ×7 = 14, we have ( A= 4) mod 10. 1.2.4 Deriving 2’s Complement Given these equivalence classes, we might instead choose to draw a circle to iden- tify the equivalence classes and to associate each class with one of the sixteen possible 4-bit patterns, as shown to the right. Us- ing this circlerepresentation,wecan addby counting clockwise around the circle, and we can subtract by counting in a counter- clockwise direction around the circle. With an unsigned representation, we choose to use the groupfrom[0 ,15](the middle group in the diagram markings to the right) as the number represented by each of the pat- terns. Overﬂow occurs with unsigned addi- tion (or subtraction) because we can only choose one value for each binary pattern.01000001 0010 0011 0101 0110 01110000 10001111 100110101011110011011110..., −15, 1, 17, ... ..., −14, 2, 18, ... ..., −13, 3, 19, ... ..., −12, 4, 20, ... ..., −11, 5, 21 ..., −10, 6, 22 ..., −9, 7, 23 ..., −8, 8, 24, ......, −7, 9, 25, ......, −6, 10, 26, ......, −5, 11, 27, ......, −4, 12, 28, ......, −3, 13, 29, ......, −2, 14, 30, ......, −1, 15, 31, ... modulo 16 (binary patterns inside circle)equivalence classes..., −16, 0, 16, ...'}"
"1.2 The 2’s Complement Representation 5 In fact, we can choose any single value for each pattern to create a representation, and our add unit will always produce results that are correct modulo 16. Look back at o ur overﬂow example, where we added 12 and 6 to obtain 2, and notice that (2 = 18) mod 16. Normally, only a con tiguous sequence of integers makes a useful representation, but we do not have to restrict ourselve s to non-negative numbers. The 2’s complement representation can then be deﬁned by choosing a set of integers balanced around zero from the groups. In the circle diagram, for example, we might choos e to represent numbers in the range [−7,7] when using 4 bits. What about the last pattern, 1000? We could ch oose to represent either -8 or 8. The number of arithmetic operations that overﬂow is the same with b oth choices (the choices are symmetric around 0, as are the combinations of input operands that overﬂow ), so we gain nothing in that sense from ei- ther choice. If we choose to represent -8, however, notice that all patterns starting with a 1 bit then represent negative numbers. No such simple check arises with the opposite cho ice, and thus an N-bit 2’s complement representationisdeﬁnedtorepresenttherange[ −2N−1,2N−1−1], withpatternschosenasshowninthecircle. 1.2.5 An Algebraic Approach Some people prefer an algebraic approach to understanding the de ﬁnition of 2’s complement, so we present such an approach next. Let’s start by writing f(A,B) for the result of our add unit: f(A,B) = (A+B) mod 2N We assumethat we want to representa set of integersbalanced ar ound0 using oursigned representation, and that we will use the same binary patterns as we do with an unsigned re presentationto represent non-negative numbers. Thus, with an N-bit representation, the patterns in the range [0 ,2N−1−1] are the same as those used with an unsigned representation. In this case, we are left with all patterns beginning with a 1 bit. The question then is this: given an integer k, 2N−1> k >0, for which we want to ﬁnd a pattern to represent−k, and any integer m≥0 that we might want to add to −k, can we ﬁnd another integer p >0 such that (−k+m=p+m) mod 2N? (1) If we can, we can use p’s representation to represent −kand our unsigned addition unit f(A,B) will work correctly. To ﬁnd the value p, start by subtracting mfrom both sides of Equation (1) to obtain: (−k=p) mod 2N(2) Note that (2N= 0) mod 2N, and add this equation to Equation (2) to obtain (2N−k=p) mod 2N Letp= 2N−k","{'page_number': 10, 'textbook_name': 'ECE-120-student-notes', 'text': 'To ﬁnd the value p, start by subtracting mfrom both sides of Equation (1) to obtain: (−k=p) mod 2N(2) Note that (2N= 0) mod 2N, and add this equation to Equation (2) to obtain (2N−k=p) mod 2N Letp= 2N−k. For example, if N= 4,k= 3 gives p= 16−3 = 13, which is the pattern 1101. With N= 4 andk= 5, we obtain p= 16−5 = 11, which is the pattern 1011. In general, since 2N−1> k >0, we have 2N−1< p <2N. But these patterns are all unused—they all start with a 1 bit!—so t he patterns that we have deﬁned for negative numbers are disjoint from those that we used for positive numbers, and the meaning of each pattern is unambiguous. The algebraic deﬁnition of b it patterns for negative numbers also matches our circle diagram from the last section exactly, of course .'}"
"To ﬁnd the value p, start by subtracting mfrom both sides of Equation (1) to obtain: (−k=p) mod 2N(2) Note that (2N= 0) mod 2N, and add this equation to Equation (2) to obtain (2N−k=p) mod 2N Letp= 2N−k. For example, if N= 4,k= 3 gives p= 16−3 = 13, which is the pattern 1101. With N= 4 andk= 5, we obtain p= 16−5 = 11, which is the pattern 1011. In general, since 2N−1> k >0, we have 2N−1< p <2N. But these patterns are all unused—they all start with a 1 bit!—so t he patterns that we have deﬁned for negative numbers are disjoint from those that we used for positive numbers, and the meaning of each pattern is unambiguous. The algebraic deﬁnition of b it patterns for negative numbers also matches our circle diagram from the last section exactly, of course .","{'page_number': 10, 'textbook_name': 'ECE-120-student-notes', 'text': 'To ﬁnd the value p, start by subtracting mfrom both sides of Equation (1) to obtain: (−k=p) mod 2N(2) Note that (2N= 0) mod 2N, and add this equation to Equation (2) to obtain (2N−k=p) mod 2N Letp= 2N−k. For example, if N= 4,k= 3 gives p= 16−3 = 13, which is the pattern 1101. With N= 4 andk= 5, we obtain p= 16−5 = 11, which is the pattern 1011. In general, since 2N−1> k >0, we have 2N−1< p <2N. But these patterns are all unused—they all start with a 1 bit!—so t he patterns that we have deﬁned for negative numbers are disjoint from those that we used for positive numbers, and the meaning of each pattern is unambiguous. The algebraic deﬁnition of b it patterns for negative numbers also matches our circle diagram from the last section exactly, of course .'}"
