text,metadata
"Why the Book Happened
This textbook evolved from EECS 100, the rst computing course for computer
science, computer engineering, and electrical engineering majors at the Univer-
sity of Michigan, Ann Arbor, that Kevin Compton and the rst author introduced
for the rst time in the fall term, 1995.
EECS 100 happened at Michigan because Computer Science and Engi-
neering faculty had been dissatised for many years with the lack of student
comprehension of some very basic concepts. For example, students had a lot
of trouble with pointer variables. Recursion seemed to be magic, beyond
understanding.
We decided in 1993 that the conventional wisdom of starting with a high-
level programming language, which was the way we (and most universities) were","{'page_number': 0, 'textbook_name': 'Yale-Patt_Sanjay-Patel--Intro_to_Computing_Systems', 'text': 'Why the Book Happened\nThis textbook evolved from EECS 100, the rst computing course for computer\nscience, computer engineering, and electrical engineering majors at the Univer-\nsity of Michigan, Ann Arbor, that Kevin Compton and the rst author introduced\nfor the rst time in the fall term, 1995.\nEECS 100 happened at Michigan because Computer Science and Engi-\nneering faculty had been dissatised for many years with the lack of student\ncomprehension of some very basic concepts. For example, students had a lot\nof trouble with pointer variables. Recursion seemed to be magic, beyond\nunderstanding.\nWe decided in 1993 that the conventional wisdom of starting with a high-\nlevel programming language, which was the way we (and most universities) were'}"
"doing it, had its shortcomings. We decided that the reason students were not get-
ting it was that they were forced to memorize technical details when they did not
understand the basic underpinnings.
Our result was the bottom-up approach taken in this book, where we contin-
ually build on what the student already knows, only memorizing when absolutely
necessary. We did not endorse then and we do not endorse now the popular
information hiding approach when it comes to learning. Information hiding is a
useful productivity enhancement technique after one understands what is going on.
But until one gets to that point, we insist that information hiding gets in the way of
understanding. Thus, we continually build on what has gone before so that nothing
is magic and everything can be tied to the foundation that has already been laid.
We should point out that we do not disagree with the notion of top-down
design. On the contrary, we believe strongly that top-down design is correct
design. But there is a clear dierence between how one approaches a design prob-
lem (after one understands the underlying building blocks) and what it takes to get
to the point where one does understand the building blocks. In short, we believe
in top-down design, but bottom-up learning for understanding.
Major Changes in the Third Edition
The LC-3
A hallmark of our book continues to be the LC-3 ISA, which is small enough to
be described in a few pages and hopefully mastered in a very short time, yet rich
enough to convey the essence of what an ISA provides. It is the LC 3 because
it took us three tries to get it right. Four tries, actually, but the two changes in the
LC-3 ISA since the second edition (i.e., changes to the LEA instruction and to the
TRAP instruction) are so minor that we decided not to call the slightly modied
ISA the LC-4.
The LEA instruction no longer sets condition codes. It used to set condition
codes on the mistaken belief that since LEA stands for Load Eective Address,
it should set condition codes like LD, LDI, and LDR do. We recognize now that
this reason was silly. LD, LDI, and LDR load a register from memory, and so
the condition codes provide useful information  whether the value loaded is
negative, zero, or positive. LEA loads an address into a register, and for that, the
condition codes do not really provide any value. Legacy code written before this
change should still run correctly.
The TRAP instruction no longer stores the linkage back to the calling pro-
gram in R7. Instead, the PC and PSR are pushed onto the system stack and popped
by the RTI instruction (renamed Return from Trap or Interrupt) as the last instruc-
tion in a trap routine. Trap routines now execute in privileged memory (x0000 to
x2FFF). This change allows trap routines to be re-entrant. It does not aect old
code provided the starting address of the trap service routines, obtained from the
Trap Vector Table, is in privileged memory and the terminating instruction of
each trap service routine is changed from RET to RTI.
As before, Appendix A species the LC-3 completely","{'page_number': 1, 'textbook_name': 'Yale-Patt_Sanjay-Patel--Intro_to_Computing_Systems', 'text': 'Trap routines now execute in privileged memory (x0000 to\nx2FFF). This change allows trap routines to be re-entrant. It does not aect old\ncode provided the starting address of the trap service routines, obtained from the\nTrap Vector Table, is in privileged memory and the terminating instruction of\neach trap service routine is changed from RET to RTI.\nAs before, Appendix A species the LC-3 completely.'}"
"Trap routines now execute in privileged memory (x0000 to
x2FFF). This change allows trap routines to be re-entrant. It does not aect old
code provided the starting address of the trap service routines, obtained from the
Trap Vector Table, is in privileged memory and the terminating instruction of
each trap service routine is changed from RET to RTI.
As before, Appendix A species the LC-3 completely.","{'page_number': 1, 'textbook_name': 'Yale-Patt_Sanjay-Patel--Intro_to_Computing_Systems', 'text': 'Trap routines now execute in privileged memory (x0000 to\nx2FFF). This change allows trap routines to be re-entrant. It does not aect old\ncode provided the starting address of the trap service routines, obtained from the\nTrap Vector Table, is in privileged memory and the terminating instruction of\neach trap service routine is changed from RET to RTI.\nAs before, Appendix A species the LC-3 completely.'}"
"The Addition of C++
Weve had an ongoing debate about how to extend our approach and textbook
to C++. One of the concerns about C++ is that many of its language features
are too far abstracted from the underlying layers to make for an easy t to our
approach. Another concern is that C++ is such a vast language that any adequate
coverage would require an additional thousand pages. We also didnt want to drop
C completely, as it serves as a de facto development language for systems and
hardware-oriented projects.
We adopted an approach where we cover the common core of C and C++
from Chapters 11 through 19. This common core is similar to what was covered
in the second edition, with some minor updates. Chapter 20 serves as a transition,
which we aspired to make very smooth, to the core concepts of C++. With this
approach, we get to explore the evolution between C and C++, which serves as
a key learning opportunity on what changes were essential to boost programmer
productivity.
In particular, we focus on classes in C++ as an evolution from structures in
C. We discuss classes as a compiler construct, how method calls are made, and
the notion of constructors. We touch upon inheritance, too, but leave the details
for subsequent treatment in follow-on courses.
An important element of C++ is the introduction of container classes in the
Standard Template Library, which is a heavily utilized part of the C++ language.
This provides an opportunity to dive deep into the vector class, which serves as
a continuation of a running example in the second half around the support for
variable-sized arrays in high-level languages, or in particular, Cs lack of support
for them.
Other Important Updates
Although no chapter in the book has remained untouched, some chapters have
been changed more than others. In Chapter 2, we expanded the coverage of the
oating point data type and the conversion of fractions between decimal and
binary numbers in response to several instructors who wanted them. We moved
DeMorgans Laws from Chapter 3 to Chapter 2 because the concept is really about
AND and OR functions and not about digital logic implementation. In Chap-
ter 3, we completely overhauled the description of state, latches, ip-ops, nite
state machines, and our example of a danger sign. We felt the explanations in the
second edition were not as clear as they needed to be, and the concepts are too
important to not get right. We revised Chapter 4 to better introduce the LC-3,
including a dierent set of instructions, leading to our rst complete example of
a computer program.
Our organization of Chapters 8, 9, and 10 was completely overhauled in order
to present essentially the same material in a more understandable way. Although
most of our treatment of data structures waits until we have introduced C in the
second half of the book, we felt it was important to introduce stacks, queues,
and character strings as soon as the students have moved out of programming in
machine language so they can write programs dealing with these data structures","{'page_number': 2, 'textbook_name': 'Yale-Patt_Sanjay-Patel--Intro_to_Computing_Systems', 'text': 'The Addition of C++\nWeve had an ongoing debate about how to extend our approach and textbook\nto C++. One of the concerns about C++ is that many of its language features\nare too far abstracted from the underlying layers to make for an easy t to our\napproach. Another concern is that C++ is such a vast language that any adequate\ncoverage would require an additional thousand pages. We also didnt want to drop\nC completely, as it serves as a de facto development language for systems and\nhardware-oriented projects.\nWe adopted an approach where we cover the common core of C and C++\nfrom Chapters 11 through 19. This common core is similar to what was covered\nin the second edition, with some minor updates. Chapter 20 serves as a transition,\nwhich we aspired to make very smooth, to the core concepts of C++. With this\napproach, we get to explore the evolution between C and C++, which serves as\na key learning opportunity on what changes were essential to boost programmer\nproductivity.\nIn particular, we focus on classes in C++ as an evolution from structures in\nC. We discuss classes as a compiler construct, how method calls are made, and\nthe notion of constructors. We touch upon inheritance, too, but leave the details\nfor subsequent treatment in follow-on courses.\nAn important element of C++ is the introduction of container classes in the\nStandard Template Library, which is a heavily utilized part of the C++ language.\nThis provides an opportunity to dive deep into the vector class, which serves as\na continuation of a running example in the second half around the support for\nvariable-sized arrays in high-level languages, or in particular, Cs lack of support\nfor them.\nOther Important Updates\nAlthough no chapter in the book has remained untouched, some chapters have\nbeen changed more than others. In Chapter 2, we expanded the coverage of the\noating point data type and the conversion of fractions between decimal and\nbinary numbers in response to several instructors who wanted them. We moved\nDeMorgans Laws from Chapter 3 to Chapter 2 because the concept is really about\nAND and OR functions and not about digital logic implementation. In Chap-\nter 3, we completely overhauled the description of state, latches, ip-ops, nite\nstate machines, and our example of a danger sign. We felt the explanations in the\nsecond edition were not as clear as they needed to be, and the concepts are too\nimportant to not get right. We revised Chapter 4 to better introduce the LC-3,\nincluding a dierent set of instructions, leading to our rst complete example of\na computer program.\nOur organization of Chapters 8, 9, and 10 was completely overhauled in order\nto present essentially the same material in a more understandable way. Although\nmost of our treatment of data structures waits until we have introduced C in the\nsecond half of the book, we felt it was important to introduce stacks, queues,\nand character strings as soon as the students have moved out of programming in\nmachine language so they can write programs dealing with these data structures'}"
"and see how these structures are actually organized in memory. We moved our dis-
cussion of subroutines up to Chapter 8 because of their importance in constructing
richer programs.
We also introduced recursion in Chapter 8, although its main treatment is still
left for the second half of the book. Both the expressive power of recursion and
its misuse are so common in undergraduate curricula that we felt dealing with
it twice, rst while they are engrossed in the bowels of assembly language and
again after moving up to the richness of C, was worthwhile.
Chapter 9 now covers all aspects of I/O in one place, including polling and
interrupt-driven I/O. Although the concept of privilege is present in the second
edition, we have put greater emphasis on it in the third edition. Our coverage
of system calls (the trap routines invoked by the TRAP instruction) appears in
Chapter 9. All of the above reduce Chapter 10 to simply a comprehensive example
that pulls together a lot of the rst half of the book: the simulation of a calculator.
Doing so requires 12 subroutines that are laid out in complete detail. Two con-
cepts that are needed to make this happen are stack arithmetic and ASCII/binary
conversion, so they are included in Chapter 10.
We reworked all the examples in Chapters 11 through 19 to use the latest
ANSI Standard C or C18. We also added more coding examples to further empha-
size points and to provide clarity on complex topics such as pointers, arrays,
recursion, and pointers to pointers in C. In Chapter 16, we added additional
sections on variable-sized arrays in C, and on multidimensional arrays.
Chapter Organization
The book breaks down into two major segments, (a) the underlying structure
of a computer, as manifested in the LC-3; and (b) programming in a high-level
language, in our case C and C++.
The LC-3
We start with the underpinnings that are needed to understand the workings of a
real computer. Chapter 2 introduces the bit and arithmetic and logical operations
on bits. Then we begin to build the structure needed to understand the LC-3.
Chapter 3 takes the student from an MOS transistor, step by step, to a real
memory and a nite state machine.
Our real memory consists of four words of three bits each, rather than
16 gigabytes, which is common in most laptops today. Its description ts on a
single page (Figure 3.20), making it easy for a student to grasp. By the time stu-
dents get there, they have been exposed to all the elements needed to construct the
memory. The nite state machine is needed to understand how a computer pro-
cesses instructions, starting in Chapter 4. Chapter 4 introduces the von Neumann
execution model and enough LC-3 instructions to allow an LC-3 program to be
written. Chapter 5 introduces most of the rest of the LC-3 ISA.","{'page_number': 3, 'textbook_name': 'Yale-Patt_Sanjay-Patel--Intro_to_Computing_Systems', 'text': 'and see how these structures are actually organized in memory. We moved our dis-\ncussion of subroutines up to Chapter 8 because of their importance in constructing\nricher programs.\nWe also introduced recursion in Chapter 8, although its main treatment is still\nleft for the second half of the book. Both the expressive power of recursion and\nits misuse are so common in undergraduate curricula that we felt dealing with\nit twice, rst while they are engrossed in the bowels of assembly language and\nagain after moving up to the richness of C, was worthwhile.\nChapter 9 now covers all aspects of I/O in one place, including polling and\ninterrupt-driven I/O. Although the concept of privilege is present in the second\nedition, we have put greater emphasis on it in the third edition. Our coverage\nof system calls (the trap routines invoked by the TRAP instruction) appears in\nChapter 9. All of the above reduce Chapter 10 to simply a comprehensive example\nthat pulls together a lot of the rst half of the book: the simulation of a calculator.\nDoing so requires 12 subroutines that are laid out in complete detail. Two con-\ncepts that are needed to make this happen are stack arithmetic and ASCII/binary\nconversion, so they are included in Chapter 10.\nWe reworked all the examples in Chapters 11 through 19 to use the latest\nANSI Standard C or C18. We also added more coding examples to further empha-\nsize points and to provide clarity on complex topics such as pointers, arrays,\nrecursion, and pointers to pointers in C. In Chapter 16, we added additional\nsections on variable-sized arrays in C, and on multidimensional arrays.\nChapter Organization\nThe book breaks down into two major segments, (a) the underlying structure\nof a computer, as manifested in the LC-3; and (b) programming in a high-level\nlanguage, in our case C and C++.\nThe LC-3\nWe start with the underpinnings that are needed to understand the workings of a\nreal computer. Chapter 2 introduces the bit and arithmetic and logical operations\non bits. Then we begin to build the structure needed to understand the LC-3.\nChapter 3 takes the student from an MOS transistor, step by step, to a real\nmemory and a nite state machine.\nOur real memory consists of four words of three bits each, rather than\n16 gigabytes, which is common in most laptops today. Its description ts on a\nsingle page (Figure 3.20), making it easy for a student to grasp. By the time stu-\ndents get there, they have been exposed to all the elements needed to construct the\nmemory. The nite state machine is needed to understand how a computer pro-\ncesses instructions, starting in Chapter 4. Chapter 4 introduces the von Neumann\nexecution model and enough LC-3 instructions to allow an LC-3 program to be\nwritten. Chapter 5 introduces most of the rest of the LC-3 ISA.'}"
"The LC-3 is a 16-bit architecture that includes physical I/O via keyboard
and monitor, TRAPs to the operating system for handling service calls, con-
ditional branches on (N, Z, and P) condition codes, a subroutine call/return
mechanism, a minimal set of operate instructions (ADD, AND, and NOT), and
various addressing modes for loads and stores (direct, indirect, Base+oset).
Chapter 6 is devoted to programming methodology (stepwise renement)
and debugging, and Chapter 7 is an introduction to assembly language program-
ming. We have developed a simulator and an assembler for the LC-3 that runs on
Windows, Linux, and Mac0S platforms. It can be downloaded from the web at
no charge.
Students use the simulator to test and debug programs written in LC-3
machine language and in LC-3 assembly language. The simulator allows online
debugging (deposit, examine, single-step, set breakpoint, and so on). The sim-
ulator can be used for simple LC-3 machine language and assembly language
programming assignments, which are essential for students to master the concepts
presented throughout the rst ten chapters.
Assembly language is taught, but not to train expert assembly language pro-
grammers. Indeed, if the purpose was to train assembly language programmers,
the material would be presented in an upper-level course, not in an introductory
course for freshmen. Rather, the material is presented in Chapter 7 because it
is consistent with the paradigm of the book. In our bottom-up approach, by the
time the student reaches Chapter 7, he/she can handle the process of transform-
ing assembly language programs to sequences of 0s and 1s. We go through the
process of assembly step by step for a very simple LC-3 Assembler. By hand
assembling, the student (at a very small additional cost in time) reinforces the
important fundamental concept of translation.
It is also the case that assembly language provides a user-friendly notation
to describe machine instructions, something that is particularly useful for writing
programs in Chapters 8, 9, and 10, and for providing many of the explanations in
the second half of the book. Starting in Chapter 11, when we teach the semantics
of C statements, it is far easier for the reader to deal with ADD R1, R2, R3 than
to have to struggle with 0001001010000011.
Chapter 8 introduces three important data structures: the stack, the queue,
and the character string, and shows how they are stored in memory. The sub-
routine call/return mechanism of the LC-3 is presented because of its usefulness
both in manipulating these data structures and in writing programs. We also intro-
duce recursion, a powerful construct that we revisit much more thoroughly in the
second half of the book (in Chapter 17), after the student has acquired a much
stronger capability in high-level language programming. We introduce recursion
here to show by means of a few examples the execution-time tradeos incurred
with recursion as a rst step in understanding when its use makes sense and when
it doesnt","{'page_number': 4, 'textbook_name': 'Yale-Patt_Sanjay-Patel--Intro_to_Computing_Systems', 'text': 'We also intro-\nduce recursion, a powerful construct that we revisit much more thoroughly in the\nsecond half of the book (in Chapter 17), after the student has acquired a much\nstronger capability in high-level language programming. We introduce recursion\nhere to show by means of a few examples the execution-time tradeos incurred\nwith recursion as a rst step in understanding when its use makes sense and when\nit doesnt.\nChapter 9 deals with input/output and some basic interaction between the\nprocessor and the operating system. We introduce the notions of priority and\nprivilege, which are central to a systems environment. Our treatment of I/O is\nall physical, using keyboard data and status registers for input and display data\nand status registers for output. We describe both interrupt-driven I/O and I/O'}"
"We also intro-
duce recursion, a powerful construct that we revisit much more thoroughly in the
second half of the book (in Chapter 17), after the student has acquired a much
stronger capability in high-level language programming. We introduce recursion
here to show by means of a few examples the execution-time tradeos incurred
with recursion as a rst step in understanding when its use makes sense and when
it doesnt.
Chapter 9 deals with input/output and some basic interaction between the
processor and the operating system. We introduce the notions of priority and
privilege, which are central to a systems environment. Our treatment of I/O is
all physical, using keyboard data and status registers for input and display data
and status registers for output. We describe both interrupt-driven I/O and I/O","{'page_number': 4, 'textbook_name': 'Yale-Patt_Sanjay-Patel--Intro_to_Computing_Systems', 'text': 'We also intro-\nduce recursion, a powerful construct that we revisit much more thoroughly in the\nsecond half of the book (in Chapter 17), after the student has acquired a much\nstronger capability in high-level language programming. We introduce recursion\nhere to show by means of a few examples the execution-time tradeos incurred\nwith recursion as a rst step in understanding when its use makes sense and when\nit doesnt.\nChapter 9 deals with input/output and some basic interaction between the\nprocessor and the operating system. We introduce the notions of priority and\nprivilege, which are central to a systems environment. Our treatment of I/O is\nall physical, using keyboard data and status registers for input and display data\nand status registers for output. We describe both interrupt-driven I/O and I/O'}"
"under program control. Both are supported by our LC-3 simulator so the student
can write interrupt drivers. Finally, we show the actual LC-3 code of the trap ser-
vice routines that the student has invoked with the TRAP instruction starting in
Chapter 4. To handle interrupt-driven I/O and trap service routines, we complete
the description of the LC-3 ISA with details of the operation of the Return from
Trap or Interrupt (RTI) and TRAP instructions.
The rst half of the book concludes with Chapter 10, a comprehensive exam-
ple of a simple calculator that pulls together a lot of what the students have learned
in Chapters 1 through 9.
Programming in C and C++
By the time the student gets to the second part of the textbook, he/she has an
understanding of the layers below. In our coverage of programming in C and
C++, we leverage this foundation by showing the resulting LC-3 code generated
by a compiler with each new concept in C/C++.
We start with the C language because it provides the common, essential
core with C++. The C programming language ts very nicely with our bottom-
up approach. Its low-level nature allows students to see clearly the connection
between software and the underlying hardware. In this book, we focus on basic
concepts such as control structures, functions, and arrays. Once basic program-
ming concepts are mastered, it is a short step for students to learn more advanced
concepts such as objects and abstraction in C++.
Each time a new high-level construct is introduced, the student is shown
the LC-3 code that a compiler would produce. We cover the basic constructs of
C (variables, operators, control, and functions), pointers, arrays, recursion, I/O,
complex data structures, and dynamic allocation. With C++, we cover some basic
improvements over C, classes, and containers.
Chapter 11 is a gentle introduction to high-level programming languages. At
this point, students have dealt heavily with assembly language and can understand
the motivation behind what high-level programming languages provide. Chapter
11 also contains a simple C program, which we use to kick-start the process of
learning C.
Chapter 12 deals with values, variables, constants, and operators. Chapter 13
introduces C control structures. We provide many complete program examples
to give students a sample of how each of these concepts is used in practice. LC-3
code is used to demonstrate how each C construct aects the machine at the lower
levels.
Chapter 14 introduces functions in C. Students are not merely exposed to the
syntax of functions. Rather they learn how functions are actually executed, with
argument-passing using a run-time stack. A number of examples are provided.
In Chapter 15, students are exposed to techniques for testing their code, along
with debugging high-level source code. The ideas of white-box and black-box
testing are discussed.
Chapter 16 teaches pointers and arrays, relying heavily on the students
understanding of how memory is organized. We discuss Cs notions of xed size
and variable-length arrays, along with multidimensional array allocation.","{'page_number': 5, 'textbook_name': 'Yale-Patt_Sanjay-Patel--Intro_to_Computing_Systems', 'text': 'under program control. Both are supported by our LC-3 simulator so the student\ncan write interrupt drivers. Finally, we show the actual LC-3 code of the trap ser-\nvice routines that the student has invoked with the TRAP instruction starting in\nChapter 4. To handle interrupt-driven I/O and trap service routines, we complete\nthe description of the LC-3 ISA with details of the operation of the Return from\nTrap or Interrupt (RTI) and TRAP instructions.\nThe rst half of the book concludes with Chapter 10, a comprehensive exam-\nple of a simple calculator that pulls together a lot of what the students have learned\nin Chapters 1 through 9.\nProgramming in C and C++\nBy the time the student gets to the second part of the textbook, he/she has an\nunderstanding of the layers below. In our coverage of programming in C and\nC++, we leverage this foundation by showing the resulting LC-3 code generated\nby a compiler with each new concept in C/C++.\nWe start with the C language because it provides the common, essential\ncore with C++. The C programming language ts very nicely with our bottom-\nup approach. Its low-level nature allows students to see clearly the connection\nbetween software and the underlying hardware. In this book, we focus on basic\nconcepts such as control structures, functions, and arrays. Once basic program-\nming concepts are mastered, it is a short step for students to learn more advanced\nconcepts such as objects and abstraction in C++.\nEach time a new high-level construct is introduced, the student is shown\nthe LC-3 code that a compiler would produce. We cover the basic constructs of\nC (variables, operators, control, and functions), pointers, arrays, recursion, I/O,\ncomplex data structures, and dynamic allocation. With C++, we cover some basic\nimprovements over C, classes, and containers.\nChapter 11 is a gentle introduction to high-level programming languages. At\nthis point, students have dealt heavily with assembly language and can understand\nthe motivation behind what high-level programming languages provide. Chapter\n11 also contains a simple C program, which we use to kick-start the process of\nlearning C.\nChapter 12 deals with values, variables, constants, and operators. Chapter 13\nintroduces C control structures. We provide many complete program examples\nto give students a sample of how each of these concepts is used in practice. LC-3\ncode is used to demonstrate how each C construct aects the machine at the lower\nlevels.\nChapter 14 introduces functions in C. Students are not merely exposed to the\nsyntax of functions. Rather they learn how functions are actually executed, with\nargument-passing using a run-time stack. A number of examples are provided.\nIn Chapter 15, students are exposed to techniques for testing their code, along\nwith debugging high-level source code. The ideas of white-box and black-box\ntesting are discussed.\nChapter 16 teaches pointers and arrays, relying heavily on the students\nunderstanding of how memory is organized. We discuss Cs notions of xed size\nand variable-length arrays, along with multidimensional array allocation.'}"
"Chapter 17 teaches recursion, using the students newly gained knowledge of
functions, stack frames, and the run-time stack. Chapter 18 introduces the details
of I/O functions in C, in particular, streams, variable length argument lists, and
how C I/O is aected by the various format specications. This chapter relies on
the students earlier exposure to physical I/O in Chapter 8. Chapter 19 discusses
structures in C, dynamic memory allocation, and linked lists.
Chapter 20 provides a jump-start on C++ programming by discussing its
roots in C and introducing the idea of classes as a natural evolution from struc-
tures. We also cover the idea of containers in the standard template library, to
enable students to quickly jump into productive programming with C++.
Along the way, we have tried to emphasize good programming style and cod-
ing methodology by means of examples. Novice programmers probably learn at
least as much from the programming examples they read as from the rules they
are forced to study. Insights that accompany these examples are highlighted by
means of lightbulb icons that are included in the margins.
We have found that the concept of pointer variables (Chapter 16) is not at all
a problem. By the time students encounter it, they have a good understanding of
what memory is all about, since they have analyzed the logic design of a small
memory (Chapter 3). They know the dierence, for example, between a memory
locations address and the data stored there.
Recursion ceases to be magic since, by the time a student gets to that point
(Chapter 17), he/she has already encountered all the underpinnings. Students
understand how stacks work at the machine level (Chapter 8), and they understand
the call/return mechanism from their LC-3 machine language programming expe-
rience, and the need for linkages between a called program and the return to the
caller (Chapter 8). From this foundation, it is not a large step to explain functions
by introducing run-time stack frames (Chapter 14), with a lot of the mystery about
argument passing, dynamic declarations, and so on, going away. Since a function
can call a function, it is one additional small step (certainly no magic involved)
for a function to call itself.
The Simulator/Debugger
The importance of the Simulator/Debugger for testing the programs a student
writes cannot be overemphasized. We believe strongly that there is no substi-
tute for hands-on practice testing ones knowledge. It is incredibly fullling
to a students education to write a program that does not work, testing it to
nd out why it does not work, xing the bugs himself/herself, and then see-
ing the program run correctly. To that end, the Simulator/Debugger has been
completely rewritten. It runs on Windows, Linux, and MacOS while present-
ing the same user interface (GUI) regardless of which platform the student is
using. We have improved our incorporation of interrupt-driven I/O into the Sim-
ulators functionality so students can easily write interrupt drivers and invoke
them by interrupting a lower priority executing program. ...in their rst course in
computing!","{'page_number': 6, 'textbook_name': 'Yale-Patt_Sanjay-Patel--Intro_to_Computing_Systems', 'text': 'Chapter 17 teaches recursion, using the students newly gained knowledge of\nfunctions, stack frames, and the run-time stack. Chapter 18 introduces the details\nof I/O functions in C, in particular, streams, variable length argument lists, and\nhow C I/O is aected by the various format specications. This chapter relies on\nthe students earlier exposure to physical I/O in Chapter 8. Chapter 19 discusses\nstructures in C, dynamic memory allocation, and linked lists.\nChapter 20 provides a jump-start on C++ programming by discussing its\nroots in C and introducing the idea of classes as a natural evolution from struc-\ntures. We also cover the idea of containers in the standard template library, to\nenable students to quickly jump into productive programming with C++.\nAlong the way, we have tried to emphasize good programming style and cod-\ning methodology by means of examples. Novice programmers probably learn at\nleast as much from the programming examples they read as from the rules they\nare forced to study. Insights that accompany these examples are highlighted by\nmeans of lightbulb icons that are included in the margins.\nWe have found that the concept of pointer variables (Chapter 16) is not at all\na problem. By the time students encounter it, they have a good understanding of\nwhat memory is all about, since they have analyzed the logic design of a small\nmemory (Chapter 3). They know the dierence, for example, between a memory\nlocations address and the data stored there.\nRecursion ceases to be magic since, by the time a student gets to that point\n(Chapter 17), he/she has already encountered all the underpinnings. Students\nunderstand how stacks work at the machine level (Chapter 8), and they understand\nthe call/return mechanism from their LC-3 machine language programming expe-\nrience, and the need for linkages between a called program and the return to the\ncaller (Chapter 8). From this foundation, it is not a large step to explain functions\nby introducing run-time stack frames (Chapter 14), with a lot of the mystery about\nargument passing, dynamic declarations, and so on, going away. Since a function\ncan call a function, it is one additional small step (certainly no magic involved)\nfor a function to call itself.\nThe Simulator/Debugger\nThe importance of the Simulator/Debugger for testing the programs a student\nwrites cannot be overemphasized. We believe strongly that there is no substi-\ntute for hands-on practice testing ones knowledge. It is incredibly fullling\nto a students education to write a program that does not work, testing it to\nnd out why it does not work, xing the bugs himself/herself, and then see-\ning the program run correctly. To that end, the Simulator/Debugger has been\ncompletely rewritten. It runs on Windows, Linux, and MacOS while present-\ning the same user interface (GUI) regardless of which platform the student is\nusing. We have improved our incorporation of interrupt-driven I/O into the Sim-\nulators functionality so students can easily write interrupt drivers and invoke\nthem by interrupting a lower priority executing program. ...in their rst course in\ncomputing!'}"
"education, but we feel they are better suited to a later course in computer
architecture and design. This book is not intended for that purpose.
Why LC-3, and Not ARM or RISCV?
We have been asked why we invented the LC-3 ISA, rather than going with ARM,
which seems to be the ISA of choice for most mobile devices, or RISCV, which
has attracted substantial interest over the last few years.
There are many reasons. First, we knew that the ISA we selected would
be the students rst ISA, not his/her last ISA. Between the freshman year and
graduation, the student is likely to encounter several ISAs, most of which are in
commercial products: ARM, RISCV, x86, and POWER, to name a few.
But all the commercial ISAs have details that have no place in an introductory
course but still have to be understood for the student to use them eectively. We
could, of course, have subset an existing ISA, but that always ends up in questions
of what to take out and what to leave in with a result that is not as clean as one
would think at rst blush. Certainly not as clean as what one can get when starting
from scratch. It also creates an issue whenever the student uses an instruction in
an exam or on an assignment that is not in the subset. Not very clean from a
pedagogical sense.
We wanted an ISA that was clean with no special cases to deal with, with as
few opcodes as necessary so the student could spend almost all his/her time on
the fundamental concepts in the course and very little time on the nuances of the
instruction set. The formats of all instructions in the LC-3 t on a single page.
Appendix A provides all the details (i.e., the complete data sheet) of the entire
LC-3 ISA in 25 pages.
We also wanted an instruction set that in addition to containing only a few
instructions was very rich in the breadth of what it embraced. So, we came up
with the LC-3, an instruction set with only 15 four-bit opcodes, a small enough
number that students can absorb the ISA without even trying. For arithmetic, we
have only ADD instead of ADD, SUB, MUL, and DIV. For logical operations,
we have AND and NOT, foregoing OR, XOR, etc. We have no shift or rotate
instructions. In all these cases, the missing opcodes can be implemented with
procedures using the few opcodes that the LC-3 provides. We have loads and
stores with three dierent addressing modes, each addressing mode useful for a
dierent purpose. We have conditional branches, subroutine calls, return from
trap or interrupt, and system calls (the TRAP instruction).
In fact, this sparse set of opcodes is a feature! It drives home the need for
creating more complex functionality out of simple operations, and the need for
abstraction, both of which are core concepts in the book.
Most importantly, we have found from discussions with hundreds of students
that starting with the LC-3 does not put them at a disadvantage in later courses","{'page_number': 7, 'textbook_name': 'Yale-Patt_Sanjay-Patel--Intro_to_Computing_Systems', 'text': 'In fact, this sparse set of opcodes is a feature! It drives home the need for\ncreating more complex functionality out of simple operations, and the need for\nabstraction, both of which are core concepts in the book.\nMost importantly, we have found from discussions with hundreds of students\nthat starting with the LC-3 does not put them at a disadvantage in later courses.\nOn the contrary: For example, at one campus students were introduced to ARM in\nthe follow-on course, while at another campus, students were introduced to x86.'}"
